tss_code	project_id
DV	TCGA-KIRC
DW	TCGA-KIRP
DX	TCGA-SARC
DY	TCGA-READ
DZ	TCGA-KIRP
E1	TCGA-LGG
E2	TCGA-BRCA
E3	TCGA-THCA
E5	TCGA-BLCA
E6	TCGA-UCEC
E7	TCGA-BLCA
E8	TCGA-THCA
E9	TCGA-BRCA
EA	TCGA-CESC
EB	TCGA-SKCM
EC	TCGA-UCEC
ED	TCGA-LIHC
EE	TCGA-SKCM
EF	TCGA-READ
EI	TCGA-READ
EJ	TCGA-PRAD
EK	TCGA-CESC
EL	TCGA-THCA
EM	TCGA-THCA
EO	TCGA-UCEC
EP	TCGA-LIHC
EQ	TCGA-STAD
ER	TCGA-SKCM
ES	TCGA-LIHC
ET	TCGA-THCA
EU	TCGA-KIRC
EV	TCGA-KIRP
EW	TCGA-BRCA
EX	TCGA-CESC
EY	TCGA-UCEC
EZ	TCGA-LGG
F1	TCGA-STAD
F2	TCGA-PAAD
F4	TCGA-COAD
F5	TCGA-READ
F6	TCGA-LGG
F7	TCGA-HNSC
F9	TCGA-KIRP
FA	TCGA-DLBC
FB	TCGA-PAAD
FC	TCGA-PRAD
FD	TCGA-BLCA
FE	TCGA-THCA
FF	TCGA-DLBC
FG	TCGA-LGG
FI	TCGA-UCEC
FJ	TCGA-BLCA
FK	TCGA-THCA
FL	TCGA-UCEC
FM	TCGA-DLBC
FN	TCGA-LGG
FP	TCGA-STAD
FR	TCGA-SKCM
FS	TCGA-SKCM
FT	TCGA-BLCA
FU	TCGA-CESC
FV	TCGA-LIHC
FW	TCGA-SKCM
FX	TCGA-SARC
FY	TCGA-THCA
FZ	TCGA-PAAD
G2	TCGA-BLCA
G3	TCGA-LIHC
G4	TCGA-COAD
G5	TCGA-READ
G6	TCGA-KIRC
G7	TCGA-KIRP
G8	TCGA-DLBC
G9	TCGA-PRAD
GC	TCGA-BLCA
GD	TCGA-BLCA
GE	TCGA-THCA
GF	TCGA-SKCM
GH	TCGA-CESC
GI	TCGA-BRCA
GJ	TCGA-LIHC
GK	TCGA-KIRC
GL	TCGA-KIRP
GM	TCGA-BRCA
GN	TCGA-SKCM
GR	TCGA-DLBC
GS	TCGA-DLBC
GU	TCGA-BLCA
GV	TCGA-BLCA
GZ	TCGA-DLBC
H2	TCGA-THCA
H4	TCGA-BLCA
H5	TCGA-UCEC
H6	TCGA-PAAD
H7	TCGA-HNSC
H8	TCGA-PAAD
H9	TCGA-PRAD
HB	TCGA-SARC
HC	TCGA-PRAD
HD	TCGA-HNSC
HE	TCGA-KIRP
HF	TCGA-STAD
HG	TCGA-CESC
HI	TCGA-PRAD
HJ	TCGA-STAD
HL	TCGA-HNSC
HM	TCGA-CESC
HN	TCGA-BRCA
HP	TCGA-LIHC
HQ	TCGA-BLCA
HR	TCGA-SKCM
HS	TCGA-SARC
HT	TCGA-LGG
HU	TCGA-STAD
HV	TCGA-PAAD
HW	TCGA-LGG
HZ	TCGA-PAAD
IA	TCGA-KIRP
IB	TCGA-PAAD
IC	TCGA-ESCA
IE	TCGA-SARC
IF	TCGA-SARC
IG	TCGA-ESCA
IH	TCGA-SKCM
IK	TCGA-LGG
IM	TCGA-THCA
IN	TCGA-STAD
IP	TCGA-STAD
IQ	TCGA-HNSC
IR	TCGA-CESC
IS	TCGA-SARC
IW	TCGA-SARC
IZ	TCGA-KIRP
J1	TCGA-LUSC
J2	TCGA-LUAD
J4	TCGA-PRAD
J7	TCGA-KIRP
J8	TCGA-THCA
J9	TCGA-PRAD
JL	TCGA-BRCA
JU	TCGA-UCEC
JV	TCGA-SARC
JW	TCGA-CESC
JX	TCGA-CESC
JY	TCGA-ESCA
K1	TCGA-SARC
K4	TCGA-BLCA
K6	TCGA-UCEC
K7	TCGA-LIHC
KB	TCGA-STAD
KC	TCGA-PRAD
KD	TCGA-SARC
KF	TCGA-SARC
KH	TCGA-ESCA
KJ	TCGA-UCEC
KK	TCGA-PRAD
KL	TCGA-KICH
KM	TCGA-KICH
KN	TCGA-KICH
KO	TCGA-KICH
KP	TCGA-UCEC
KQ	TCGA-BLCA
KR	TCGA-LIHC
KS	TCGA-THCA
KT	TCGA-LGG
KU	TCGA-HNSC
KV	TCGA-KIRP
L1	TCGA-PAAD
L3	TCGA-LUSC
L4	TCGA-LUAD
L5	TCGA-ESCA
L6	TCGA-THCA
L7	TCGA-ESCA
L9	TCGA-LUAD
LA	TCGA-LUSC
LB	TCGA-PAAD
LC	TCGA-BLCA
LD	TCGA-BRCA
LG	TCGA-LIHC
LH	TCGA-SKCM
LI	TCGA-SARC
LK	TCGA-MESO
LL	TCGA-BRCA
LN	TCGA-ESCA
LP	TCGA-CESC
LQ	TCGA-BRCA
LT	TCGA-BLCA
M7	TCGA-PRAD
M8	TCGA-PAAD
M9	TCGA-ESCA
MA	TCGA-CESC
MB	TCGA-SARC
MF	TCGA-LUSC
MG	TCGA-PRAD
MH	TCGA-KIRP
MI	TCGA-LIHC
MJ	TCGA-SARC
MK	TCGA-THCA
MM	TCGA-KIRC
MN	TCGA-LUAD
MO	TCGA-SARC
MP	TCGA-LUAD
MQ	TCGA-MESO
MR	TCGA-LIHC
MS	TCGA-BRCA
MT	TCGA-HNSC
MU	TCGA-CESC
MV	TCGA-BLCA
MW	TCGA-KIRC
MX	TCGA-STAD
MY	TCGA-CESC
MZ	TCGA-HNSC
N1	TCGA-SARC
N5	TCGA-UCS
N6	TCGA-UCS
N7	TCGA-UCS
N8	TCGA-UCS
N9	TCGA-UCS
NA	TCGA-UCS
NC	TCGA-LUSC
ND	TCGA-UCS
NF	TCGA-UCS
NG	TCGA-UCS
NH	TCGA-COAD
NI	TCGA-LIHC
NJ	TCGA-LUAD
NK	TCGA-LUSC
NP	TCGA-KICH
NQ	TCGA-MESO
O1	TCGA-LUAD
O2	TCGA-LUSC
O8	TCGA-LIHC
O9	TCGA-KIRP
OD	TCGA-SKCM
OE	TCGA-PAAD
OK	TCGA-BRCA
OL	TCGA-BRCA
OR	TCGA-ACC
OU	TCGA-ACC
OX	TCGA-GBM
OY	TCGA-OV
P3	TCGA-HNSC
P4	TCGA-KIRP
P5	TCGA-LGG
P6	TCGA-ACC
P7	TCGA-PCPG
P8	TCGA-PCPG
PA	TCGA-ACC
PC	TCGA-SARC
PD	TCGA-LIHC
PE	TCGA-BRCA
PG	TCGA-UCEC
PJ	TCGA-KIRP
PK	TCGA-ACC
PL	TCGA-BRCA
PN	TCGA-CESC
PQ	TCGA-BLCA
PR	TCGA-PCPG
PT	TCGA-SARC
PZ	TCGA-PAAD
Q1	TCGA-CESC
Q2	TCGA-KIRP
Q3	TCGA-PAAD
Q9	TCGA-ESCA
QA	TCGA-LIHC
QB	TCGA-SKCM
QC	TCGA-SARC
QD	TCGA-THCA
QF	TCGA-UCEC
QG	TCGA-COAD
QH	TCGA-LGG
QK	TCGA-HNSC
QL	TCGA-COAD
QM	TCGA-UCS
QN	TCGA-UCS
QQ	TCGA-SARC
QR	TCGA-PCPG
QS	TCGA-UCEC
QT	TCGA-PCPG
QU	TCGA-PRAD
R2	TCGA-CESC
R3	TCGA-BLCA
R5	TCGA-STAD
R6	TCGA-ESCA
R8	TCGA-LGG
RA	TCGA-CESC
RB	TCGA-PAAD
RC	TCGA-LIHC
RD	TCGA-STAD
RE	TCGA-ESCA
RG	TCGA-LIHC
RL	TCGA-PAAD
RM	TCGA-PCPG
RN	TCGA-SARC
RP	TCGA-SKCM
RQ	TCGA-DLBC
RR	TCGA-GBM
RS	TCGA-HNSC
RT	TCGA-PCPG
RU	TCGA-COAD
RW	TCGA-PCPG
RX	TCGA-PCPG
RY	TCGA-LGG
RZ	TCGA-UVM
S2	TCGA-LUAD
S3	TCGA-BRCA
S4	TCGA-PAAD
S5	TCGA-BLCA
S6	TCGA-TGCT
S7	TCGA-PCPG
S8	TCGA-ESCA
S9	TCGA-LGG
SA	TCGA-PCPG
SB	TCGA-TGCT
SC	TCGA-MESO
SG	TCGA-SARC
SH	TCGA-MESO
SI	TCGA-SARC
SJ	TCGA-UCEC
SL	TCGA-UCEC
SN	TCGA-TGCT
SO	TCGA-TGCT
SP	TCGA-PCPG
SQ	TCGA-PCPG
SR	TCGA-PCPG
SS	TCGA-COAD
SU	TCGA-PRAD
SW	TCGA-STAD
SX	TCGA-KIRP
SY	TCGA-BLCA
T1	TCGA-LIHC
T2	TCGA-HNSC
T3	TCGA-HNSC
T7	TCGA-KIRC
T9	TCGA-COAD
TK	TCGA-PRAD
TM	TCGA-LGG
TN	TCGA-HNSC
TP	TCGA-PRAD
TQ	TCGA-LGG
TS	TCGA-MESO
TT	TCGA-PCPG
UB	TCGA-LIHC
UC	TCGA-CESC
UD	TCGA-MESO
UE	TCGA-SARC
UF	TCGA-HNSC
UL	TCGA-BRCA
UN	TCGA-KIRP
UP	TCGA-HNSC
US	TCGA-PAAD
UT	TCGA-MESO
UU	TCGA-BRCA
UW	TCGA-KICH
UY	TCGA-BLCA
UZ	TCGA-KIRP
V1	TCGA-PRAD
V3	TCGA-UVM
V4	TCGA-UVM
V5	TCGA-ESCA
V7	TCGA-BRCA
V9	TCGA-KIRP
VB	TCGA-DLBC
VD	TCGA-UVM
VF	TCGA-TGCT
VG	TCGA-OV
VM	TCGA-LGG
VN	TCGA-PRAD
VP	TCGA-PRAD
VQ	TCGA-STAD
VR	TCGA-ESCA
VS	TCGA-CESC
VT	TCGA-SARC
VV	TCGA-LGG
VW	TCGA-LGG
W2	TCGA-PCPG
W3	TCGA-SKCM
W4	TCGA-TGCT
W5	TCGA-CHOL
W6	TCGA-CHOL
W7	TCGA-CHOL
W8	TCGA-BRCA
W9	TCGA-LGG
WA	TCGA-HNSC
WB	TCGA-PCPG
WC	TCGA-UVM
WD	TCGA-CHOL
WE	TCGA-SKCM
WH	TCGA-LGG
WJ	TCGA-LIHC
WK	TCGA-SARC
WL	TCGA-CESC
WN	TCGA-KIRP
WP	TCGA-SARC
WQ	TCGA-LIHC
WR	TCGA-OV
WS	TCGA-COAD
WT	TCGA-BRCA
WW	TCGA-PRAD
WX	TCGA-LIHC
WY	TCGA-LGG
WZ	TCGA-TGCT
X2	TCGA-SARC
X3	TCGA-TGCT
X4	TCGA-PRAD
X6	TCGA-SARC
X7	TCGA-THYM
X8	TCGA-ESCA
X9	TCGA-SARC
XA	TCGA-PRAD
XC	TCGA-LUSC
XD	TCGA-PAAD
XE	TCGA-TGCT
XF	TCGA-BLCA
XG	TCGA-PCPG
XH	TCGA-THYM
XJ	TCGA-PRAD
XK	TCGA-PRAD
XM	TCGA-THYM
XN	TCGA-PAAD
XP	TCGA-ESCA
XQ	TCGA-PRAD
XR	TCGA-LIHC
XS	TCGA-CESC
XT	TCGA-MESO
XU	TCGA-THYM
XV	TCGA-SKCM
XX	TCGA-BRCA
XY	TCGA-TGCT
Y6	TCGA-PRAD
Y8	TCGA-KIRP
YA	TCGA-LIHC
YB	TCGA-PAAD
YC	TCGA-BLCA
YD	TCGA-SKCM
YF	TCGA-BLCA
YG	TCGA-SKCM
YH	TCGA-PAAD
YJ	TCGA-PRAD
YL	TCGA-PRAD
YR	TCGA-CHOL
YS	TCGA-MESO
YT	TCGA-THYM
YU	TCGA-TGCT
YY	TCGA-PAAD
YZ	TCGA-UVM
Z2	TCGA-SKCM
Z4	TCGA-SARC
Z5	TCGA-PAAD
Z6	TCGA-ESCA
Z7	TCGA-BRCA
ZA	TCGA-STAD
ZB	TCGA-THYM
ZC	TCGA-THYM
ZD	TCGA-CHOL
ZF	TCGA-BLCA
ZG	TCGA-PRAD
ZH	TCGA-CHOL
ZJ	TCGA-CESC
ZK	TCGA-CHOL
ZL	TCGA-THYM
ZM	TCGA-TGCT
ZN	TCGA-MESO
ZP	TCGA-LIHC
ZQ	TCGA-STAD
ZR	TCGA-ESCA
ZS	TCGA-LIHC
ZT	TCGA-THYM
ZU	TCGA-CHOL
ZX	TCGA-CESC
